Date,Name,Year,Letterboxd URI,Rating,director,country,genres,themes,Major Genre,ratingCount,communityScoreRaw,communityScoreWeighted
2019-02-16,The Eyes of My Mother,2016,https://boxd.it/cTd8,5.0,Nicolas Pesce,usa,"['horror', 'drama']","['Horror, the undead and monster classics', 'Intense violence and sexual transgression']",horror,16918,8,3.37
2019-02-16,The Crazies,2010,https://boxd.it/1nvW,3.5,Breck Eisner,usa,"['action', 'horror', 'mystery']","['Horror, the undead and monster classics', 'Monsters, aliens, sci-fi and the apocalypse']",action,37149,7,2.99
2019-02-16,House of Wax,2005,https://boxd.it/1XaU,3.0,Jaume Collet Serra,usa,"['horror', 'thriller']","['Horror, the undead and monster classics', 'Intense violence and sexual transgression']",horror,68969,6,2.87
2019-02-16,Pontypool,2008,https://boxd.it/1yBw,3.0,Bruce Mcdonald 1,canada,"['science-fiction', 'mystery', 'horror']","['Horror, the undead and monster classics', 'Monsters, aliens, sci-fi and the apocalypse']",mystery,22074,9,3.43
2019-02-16,Saw 3D,2010,https://boxd.it/Znk,2.5,Kevin Greutert,canada,"['crime', 'horror']","['Horror, the undead and monster classics', 'Thrillers and murder mysteries', 'Intense violence and sexual transgression']",crime,51009,4,2.29
2019-02-16,Cabin Fever,2002,https://boxd.it/1TAu,3.0,Eli Roth,usa,['horror'],"['Horror, the undead and monster classics', 'Monsters, aliens, sci-fi and the apocalypse']",horror,33317,8,2.79
2019-02-16,Saw VI,2009,https://boxd.it/1A2y,3.0,Kevin Greutert,australia,"['horror', 'mystery']","['Horror, the undead and monster classics', 'Thrillers and murder mysteries', 'Intense violence and sexual transgression']",horror,54007,9,2.75
2019-02-16,XX,2017,https://boxd.it/9pU6,4.0,Karyn Kusama,usa,['horror'],"['Horror, the undead and monster classics', 'Intense violence and sexual transgression']",horror,15601,6,2.36
2019-02-16,A Serbian Film,2010,https://boxd.it/2wBc,2.5,Sran Spasojevic,serbia,"['crime', 'horror', 'thriller']",[],thriller,36937,2,2.05
2019-02-17,The Sacrament,2013,https://boxd.it/6iEY,3.0,Ti West,usa,"['thriller', 'horror']","['Horror, the undead and monster classics', 'Intense violence and sexual transgression']",thriller,14497,1,3.01
2019-02-18,The Autopsy of Jane Doe,2016,https://boxd.it/dUu2,3.0,Andre Ovredal,uk,"['horror', 'mystery']","['Horror, the undead and monster classics', 'Intense violence and sexual transgression']",horror,94714,5,3.25
2019-03-26,Us,2019,https://boxd.it/gnV6,4.0,Jordan Peele,usa,"['horror', 'mystery', 'thriller']","['Horror, the undead and monster classics', 'Monsters, aliens, sci-fi and the apocalypse', 'Intense violence and sexual transgression']",horror,662869,9,3.72
2019-04-01,The Dirt,2019,https://boxd.it/aGN4,3.0,Jeff Tremaine,usa,"['history', 'drama', 'music', 'comedy']","['Humanity and the world around us', 'Song and dance', 'Underdogs and coming of age']",history,48655,3,3.09
